"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2025","146.75","141.55","152.85","140.53","76.79M","0.79%"
"04/04/2025","145.60","148.01","151.07","145.38","62.26M","-3.40%"
"04/03/2025","150.72","151.11","152.78","150.39","46.88M","-4.02%"
"04/02/2025","157.04","155.15","158.41","154.70","25.04M","-0.02%"
"04/01/2025","157.07","153.62","158.10","153.62","30.67M","1.57%"
"03/31/2025","154.64","153.11","155.54","150.66","54.60M","0.20%"
"03/28/2025","154.33","160.49","161.82","153.63","48.67M","-4.88%"
"03/27/2025","162.24","164.63","165.42","162.00","24.51M","-1.71%"
"03/26/2025","165.06","169.00","169.61","164.84","28.94M","-3.22%"
"03/25/2025","170.56","168.98","170.63","168.32","24.17M","1.72%"
"03/24/2025","167.68","167.07","168.32","165.14","30.88M","2.25%"
"03/21/2025","163.99","161.21","164.24","160.89","36.63M","0.73%"
"03/20/2025","162.80","161.57","164.89","160.96","28.14M","-0.67%"
"03/19/2025","163.89","161.76","165.87","161.00","34.28M","2.00%"
"03/18/2025","160.67","163.68","164.25","156.72","42.07M","-2.20%"
"03/17/2025","164.29","165.03","166.30","163.67","31.18M","-0.73%"
"03/14/2025","165.49","163.27","166.49","162.45","32.00M","1.68%"
"03/13/2025","162.76","166.04","166.13","162.11","31.76M","-2.60%"
"03/12/2025","167.11","166.58","167.64","163.53","28.37M","1.87%"
"03/11/2025","164.04","164.91","166.75","161.37","39.59M","-1.10%"
"03/10/2025","165.87","168.26","168.46","163.69","43.60M","-4.60%"
"03/07/2025","173.86","171.26","174.97","170.27","27.39M","0.88%"
"03/06/2025","172.35","170.53","174.81","170.50","28.30M","-0.39%"
"03/05/2025","173.02","170.52","173.78","169.06","30.95M","1.23%"
"03/04/2025","170.92","166.24","173.29","165.80","45.39M","2.34%"
"03/03/2025","167.01","171.93","173.37","165.93","40.77M","-1.92%"
"02/28/2025","170.28","168.68","170.61","166.77","48.13M","1.06%"
"02/27/2025","168.50","173.99","174.56","167.94","39.99M","-2.45%"
"02/26/2025","172.73","175.07","176.08","171.58","35.43M","-1.53%"
"02/25/2025","175.42","178.04","178.74","174.69","41.91M","-2.14%"
"02/24/2025","179.25","181.99","183.12","178.88","29.85M","-0.23%"
"02/21/2025","179.66","185.15","185.34","179.08","35.20M","-2.65%"
"02/20/2025","184.56","184.80","185.31","182.72","20.44M","-0.38%"
"02/19/2025","185.27","184.07","185.46","183.59","19.55M","0.82%"
"02/18/2025","183.77","185.60","185.96","181.74","29.92M","-0.79%"
"02/14/2025","185.23","185.05","186.40","184.32","20.45M","-0.49%"
"02/13/2025","186.14","184.32","186.28","183.14","21.40M","1.38%"
"02/12/2025","183.61","183.22","185.11","181.83","22.07M","-0.92%"
"02/11/2025","185.32","185.03","186.94","184.28","21.24M","-0.62%"
"02/10/2025","186.47","187.35","188.20","185.86","23.11M","0.61%"
"02/07/2025","185.34","191.05","191.18","183.24","49.31M","-3.27%"
"02/06/2025","191.60","189.50","192.10","188.72","29.30M","0.14%"
"02/05/2025","191.33","191.07","192.75","188.03","70.46M","-7.29%"
"02/04/2025","206.38","203.39","207.05","202.81","43.86M","2.56%"
"02/03/2025","201.23","200.69","203.75","200.10","27.84M","-1.37%"
"01/31/2025","204.02","202.00","205.48","201.80","32.04M","1.57%"
"01/30/2025","200.87","198.00","201.40","197.67","24.35M","2.79%"
"01/29/2025","195.41","195.55","196.79","193.43","18.22M","0.06%"
"01/28/2025","195.30","192.74","195.48","190.68","24.16M","1.82%"
"01/27/2025","191.81","192.41","196.88","190.73","41.73M","-4.20%"
"01/24/2025","200.21","198.10","200.90","198.00","23.88M","1.13%"
"01/23/2025","197.98","198.14","200.30","195.20","26.95M","-0.20%"
"01/22/2025","198.37","199.06","200.48","197.53","26.20M","0.16%"
"01/21/2025","198.05","199.07","202.29","197.87","29.97M","1.05%"
"01/17/2025","196.00","196.53","197.23","193.75","27.74M","1.60%"
"01/16/2025","192.91","194.14","195.48","192.81","17.82M","-1.35%"
"01/15/2025","195.55","193.09","196.36","191.86","21.78M","3.11%"
"01/14/2025","189.66","191.24","191.98","188.31","17.17M","-0.71%"
"01/13/2025","191.01","190.07","191.18","187.36","21.82M","-0.54%"
"01/10/2025","192.04","194.29","196.52","190.31","26.67M","-0.98%"
"01/08/2025","193.95","192.57","196.29","192.38","24.86M","-0.79%"
"01/07/2025","195.49","197.11","201.00","194.60","26.49M","-0.70%"
"01/06/2025","196.87","193.98","198.22","193.85","29.56M","2.65%"
"01/03/2025","191.79","191.37","193.21","189.98","18.60M","1.25%"
"01/02/2025","189.43","190.65","192.00","187.50","20.37M","0.07%"
"12/31/2024","189.30","191.07","191.96","188.51","17.47M","-1.01%"
"12/30/2024","191.24","189.80","192.55","189.12","14.26M","-0.79%"
"12/27/2024","192.76","194.95","195.32","190.65","18.89M","-1.45%"
"12/26/2024","195.60","195.15","196.75","194.38","12.06M","-0.26%"
"12/24/2024","196.11","194.84","196.11","193.78","10.40M","0.76%"
"12/23/2024","194.63","192.62","195.10","190.15","25.68M","1.68%"
"12/20/2024","191.41","185.78","192.89","185.22","63.46M","1.54%"
"12/19/2024","188.51","191.63","193.03","188.38","32.27M","0.06%"
"12/18/2024","188.40","195.22","197.00","187.74","34.17M","-3.59%"
"12/17/2024","195.42","197.25","201.42","194.98","43.50M","-0.63%"
"12/16/2024","196.66","192.87","199.00","192.62","44.93M","3.60%"
"12/13/2024","189.82","191.01","192.73","189.64","25.14M","-1.11%"
"12/12/2024","191.96","195.00","195.18","191.71","34.82M","-1.76%"
"12/11/2024","195.40","185.31","195.61","184.85","67.89M","5.52%"
"12/10/2024","185.17","182.85","186.36","181.05","54.81M","5.59%"
"12/09/2024","175.37","173.96","176.26","173.65","25.39M","0.38%"
"12/06/2024","174.71","172.03","175.08","171.86","21.46M","1.20%"
"12/05/2024","172.64","175.36","176.06","172.33","21.36M","-0.99%"
"12/04/2024","174.37","171.15","174.91","171.06","31.62M","1.77%"
"12/03/2024","171.34","171.49","172.68","170.85","22.25M","-0.09%"
"12/02/2024","171.49","168.76","172.07","168.57","23.79M","1.50%"
"11/29/2024","168.95","168.50","169.43","167.16","14.26M","-0.17%"
"11/27/2024","169.23","169.00","169.48","168.02","19.27M","0.07%"
"11/26/2024","169.12","167.63","169.82","167.58","20.49M","0.88%"
"11/25/2024","167.65","166.09","168.63","165.61","33.14M","1.75%"
"11/22/2024","164.76","165.85","166.46","163.90","38.60M","-1.71%"
"11/21/2024","167.63","173.90","174.13","163.70","59.73M","-4.74%"
"11/20/2024","175.98","177.34","177.68","173.78","19.00M","-1.20%"
"11/19/2024","178.12","173.72","178.87","173.56","23.43M","1.61%"
"11/18/2024","175.30","173.42","175.44","172.90","20.21M","1.63%"
"11/15/2024","172.49","173.73","174.14","171.22","32.50M","-1.76%"
"11/14/2024","175.58","178.28","178.82","174.32","31.01M","-1.84%"
"11/13/2024","178.88","180.46","180.96","178.54","23.18M","-1.51%"
"11/12/2024","181.62","179.82","182.49","179.39","25.13M","0.70%"
"11/11/2024","180.35","178.58","180.54","178.47","17.45M","1.12%"
"11/08/2024","178.35","180.65","180.90","178.08","22.01M","-1.33%"
"11/07/2024","180.75","177.41","181.08","177.19","25.35M","2.40%"
"11/06/2024","176.51","173.80","176.94","173.50","33.70M","3.99%"
"11/05/2024","169.74","169.43","170.53","168.84","18.24M","0.30%"
"11/04/2024","169.24","169.93","170.73","168.01","21.49M","-1.20%"
"11/01/2024","171.29","170.07","172.32","168.88","31.80M","0.11%"
"10/31/2024","171.11","173.13","176.82","171.00","44.77M","-1.92%"
"10/30/2024","174.46","180.68","182.02","174.06","68.89M","2.82%"
"10/29/2024","169.68","167.73","170.38","167.09","42.17M","1.78%"
"10/28/2024","166.72","168.75","168.75","163.95","32.14M","0.88%"
"10/25/2024","165.27","163.67","165.59","163.42","19.83M","1.57%"
"10/24/2024","162.72","162.83","163.33","161.01","22.41M","-0.04%"
"10/23/2024","162.78","164.76","165.82","161.93","18.28M","-1.43%"
"10/22/2024","165.14","162.98","165.77","162.98","16.57M","0.65%"
"10/21/2024","164.07","162.95","164.50","162.62","20.95M","0.40%"
"10/18/2024","163.42","163.19","164.71","163.08","19.76M","0.30%"
"10/17/2024","162.93","165.73","166.37","162.76","21.45M","-1.35%"
"10/16/2024","165.16","164.53","165.80","163.74","16.41M","-0.18%"
"10/15/2024","165.46","165.79","167.68","164.63","20.25M","0.30%"
"10/14/2024","164.96","163.64","166.23","163.40","19.02M","1.05%"
"10/11/2024","163.24","162.13","163.90","161.24","15.34M","0.72%"
"10/10/2024","162.08","160.87","163.07","160.40","14.14M","0.14%"
"10/09/2024","161.86","163.45","164.84","159.74","31.18M","-1.53%"
"10/08/2024","164.38","163.94","164.73","162.87","23.07M","0.86%"
"10/07/2024","162.98","167.72","168.48","162.75","22.46M","-2.44%"
"10/04/2024","167.06","168.06","168.23","165.48","19.09M","0.72%"
"10/03/2024","165.86","164.41","166.64","163.92","15.07M","0.00%"
"10/02/2024","165.86","166.42","167.52","164.73","17.76M","-0.68%"
"10/01/2024","166.99","167.68","169.16","164.58","28.34M","0.69%"
